month,day,hour,day_type,cooling_demand,dhw_demand,non_shiftable_load,occupant_count,indoor_dry_bulb_temperature,indoor_relative_humidity
1,1,1,0,4.357903,0.013024933994636532,6.07685614033503,5.04,23.42897,35.52043
1,1,2,0,3.215091,0.007173189093671798,6.07685614033503,5.04,23.29817,38.7368
1,1,3,0,2.456245,0.014473390417865224,6.07685614033503,5.04,23.183,34.15487
1,1,4,0,2.211614,0.010840107886321657,6.07685614033503,5.04,23.0979,29.66414
1,1,5,0,0.935923,1.9530640383799924,6.07685614033503,5.04,22.94498,27.88426
1,1,6,0,0.211656,-0.0013686448342566694,9.72296982453605,5.04,22.68747,26.33392
1,1,7,0,0.145248,2.5497094662885824,9.72296982453605,5.04,22.52726,25.3065
1,1,8,0,0.0,0.005066838344084833,9.72296982453605,5.021602,22.79112,25.63615
1,1,9,0,0.0,3.0898234504226907,12.500959330088687,4.89601,23.60381,26.08525
1,1,10,0,0.0,0.01201498805272835,12.500959330088687,4.653776,24.55387,22.20481
1,1,11,0,0.0,0.006223813315003361,12.500959330088687,4.027884,25.65426,18.32679
1,1,12,0,0.0,0.010511705602848797,12.500959330088687,3.243639,26.38329,17.26217
1,1,13,0,0.0,0.0070783521588679635,14.063578231869732,2.116781,27.30761,16.40437
1,1,14,0,0.0,1.1008828369646586,14.063578231869732,1.257916,28.01467,17.03932
1,1,15,0,0.0,0.00640696730774785,14.063578231869732,0.5948458,28.46557,18.05514
1,1,16,0,0.0,0.01422676149534903,14.063578231869732,0.0,28.56733,19.08053
1,1,17,0,0.0,0.015170537063086591,20.83493221681448,0.0,28.21309,20.50456
1,1,18,0,0.0,2.4561807539714797,20.83493221681448,0.0,27.48087,22.28001
1,1,19,0,0.0,5.311786535001176,20.83493221681448,0.0,26.75635,23.78798
1,1,20,0,16.76077,0.00494654742387882,20.83493221681448,0.905767,24.43786,31.02278
1,1,21,0,11.76346,2.5629293754062994,12.15371228067006,1.008,23.99785,35.98338
1,1,22,0,9.659025,1.9123207444899997,12.15371228067006,4.032,23.81778,35.67029
1,1,23,0,7.785632,0.009886272782777459,8.507598596469041,4.032,23.67777,31.5295
1,2,0,0,5.974323,1.0061266506345203,6.07685614033503,5.04,23.55501,30.60317
1,2,1,0,4.811777,0.010423147642600552,5.695838536643427,5.04,23.44554,31.88973
1,2,2,0,4.093716,0.017397482606987494,5.695838536643427,5.04,23.34075,32.08779
1,2,3,0,2.710392,0.012450060478430568,5.695838536643427,5.04,23.21257,32.594
