month,day,hour,day_type,cooling_demand,dhw_demand,non_shiftable_load,occupant_count,indoor_dry_bulb_temperature,indoor_relative_humidity
1,1,1,0,0.0,0.009068938106470689,5.472065702827813,5.04,19.25906,30.25914
1,1,2,0,0.0,0.01951845587143224,5.381499406051433,5.04,19.11281,31.27389
1,1,3,0,0.0,0.020846268560755908,5.394970401667256,5.04,18.99891,31.54449
1,1,4,0,0.0,0.01288179112377391,5.307883199192461,5.04,18.88802,31.732
1,1,5,0,0.0,1.4698489606746512,5.553256130909331,5.04,18.77937,31.70421
1,1,6,0,0.0,2.308531230419344,8.57838821188576,5.04,18.70517,31.36246
1,1,7,0,0.0,1.9750081158774266,8.687031908232477,5.04,18.73391,30.85836
1,1,8,0,0.0,2.0169159166581334,8.981236208688092,5.04,18.97821,30.23522
1,1,9,0,0.0,3.3317489597588756,11.502998724022575,5.04,19.4223,30.0944
1,1,10,0,0.12209167803259385,0.012603605650747828,11.378617955112608,5.035513,20.01835,29.85467
1,1,11,0,0.11046959808608192,0.012391642545410676,11.35796031950676,4.756533,20.61255,28.80083
1,1,12,0,0.09357871632893869,0.014383980763684794,11.528260425984866,4.23514,21.00932,28.13244
1,1,13,0,0.09444245355759669,0.0029587257148218898,14.285204839324583,2.979139,21.4727,28.03861
1,1,14,0,0.10765944023456596,0.009155903465264285,13.982162121489749,1.974163,21.9171,27.96073
1,1,15,0,0.7835524541462673,0.009675188610760766,14.374426397199576,0.9786233,22.24208,25.7805
1,1,16,0,0.49070940513745887,0.004893592762254495,14.535153039313983,0.0,22.17451,24.7248
1,1,17,0,0.10063891600747012,0.008440314233683598,18.561610790972146,0.0,21.69531,25.13998
1,1,18,0,0.10452390124046619,3.0285167614855344,19.30181338646114,0.0,21.20275,25.6854
1,1,19,0,0.11854578734892804,1.6808054412640516,19.865690558296524,0.0,20.7556,26.62948
1,1,20,0,0.09017773308260386,1.2339094000229385,19.395439062045718,1.008,20.41223,27.5025
1,1,21,0,0.0,1.8061383028263107,10.841357379041227,1.008,19.94891,28.58452
1,1,22,0,0.0,2.691155428251486,10.769541700657422,4.032,19.7749,28.71474
1,1,23,0,0.0,1.00446837814675,7.54034278365608,4.032,19.63833,28.88069
1,2,0,0,0.0,0.004172970631490485,5.385085207752215,5.04,19.46438,29.14879
1,2,1,0,0.0,0.008867205827990431,5.784774459075852,5.04,19.36217,30.11815
1,2,2,0,0.0,0.0179176166578022,5.590448260537303,5.04,19.23779,31.95999
1,2,3,0,0.0,0.00288945663570244,5.641569208660831,5.04,19.17102,32.92299
1,2,4,0,0.0,0.004468467369869568,5.646678700727171,5.04,19.05028,32.6679
1,2,5,0,0.0,3.0482610938013464,5.620931293369148,5.04,18.92905,32.17907
1,2,6,0,0.0,3.147051986281562,9.055341708582384,5.04,18.85903,31.90951
1,2,7,0,0.0,1.761192454276956,8.776372788337628,5.04,18.83128,32.63741
1,2,8,0,0.0,2.1706270580972986,9.171223883374713,4.032,19.0886,33.1534
