month,hour,day_type,cooling_demand,dhw_demand,non_shiftable_load,occupant_count,indoor_dry_bulb_temperature,indoor_relative_humidity,heating_demand,solar_generation
1,1,2,3.8535810216671313,0.0312,5.3567272485652655,5.04,23.42897,35.52043,0,0
1,2,2,3.9566525892964615,0.014766,5.339612544829419,5.04,23.29817,38.7368,0,0
1,3,2,3.777837959167726,0.021958,5.313911529616273,5.04,23.183,34.15487,0,0
1,4,2,3.4183753847796083,0.013872,5.481400108549691,5.04,23.0979,29.66414,0,0
1,5,2,3.067394207747598,3.005795,5.448130227367826,5.04,22.94498,27.88426,0,0
1,6,2,2.785565550980952,1.986597,8.974248723192785,5.04,22.68747,26.33392,0,0
1,7,2,1.9901007540675875,0.008207,8.528055475648975,5.04,22.52726,25.3065,0,0
1,8,2,2.5024113316241836,1.77822,8.529804196265792,5.021602,22.79112,25.63615,0,0
1,9,2,5.196075840799501,0.015471,11.109809855841208,4.89601,23.60381,26.08525,0,0
1,10,2,7.325385324329941,0.02113,11.088386556181769,4.653776,24.55387,22.20481,0,0
1,11,2,10.436554765610575,0.024317,11.039031202742342,4.027884,25.65426,18.32679,0,0
1,12,2,13.470836349063248,0.005278,11.095535219662382,3.243639,26.38329,17.26217,0,0
1,13,2,16.532008466151996,2.093767,14.025133277748326,2.116781,27.30761,16.40437,0,0
1,14,2,18.720020395271227,0.869987,13.605774706384972,1.257916,28.01467,17.03932,0,0
1,15,2,20.363254749583,0.019242,13.556518182641293,0.5948458,28.46557,18.05514,0,0
1,16,2,20.133505640063692,0.024869,13.516729907995185,0.0,28.56733,19.08053,0,0
1,17,2,19.186804655727563,0.868215,18.426533513791203,0.0,28.21309,20.50456,0,0
1,18,2,16.81397659621502,1.310671,18.738157712751015,0.0,27.48087,22.28001,0,0
1,19,2,14.222772499244682,3.203109,18.63264425061322,0.0,26.75635,23.78798,0,0
1,20,2,7.136101503152675,1.559093,18.16804749478729,0.905767,24.43786,31.02278,0,0
1,21,2,6.3125863502560815,3.081576,10.50009092618952,1.008,23.99785,35.98338,0,0
1,22,2,5.754108636090009,1.126545,10.178060798567051,4.032,23.81778,35.67029,0,0
1,23,2,5.639040899243902,0.029936,7.316763322888871,4.032,23.67777,31.5295,0,0
1,0,3,4.4812507852249,0.022387,5.339584603982811,5.04,23.55501,30.60317,0,0
